source;target
Priestley D.;Taylor P.
Manley P.;Priestley D.
Smith D.;Taylor P.
Lowe J.;Smith D.
Manley P.;Evison P.
Priestley D.;Burgess S.
Warriner-Little A.;Taylor P.
Justice N.;Burgess S.
Lowe J.;Deller K.
Manley P.;Brown S.
Priestley D.;Harvey J.
Raw S.;Evison P.
Smith D.;Part J.
Stoddart G.;Taylor P.
Warriner-Little A.;Roy A.
Brown S.;Bristow E.
Burgess S.;Lloyd C.
Deller K.;Mawson G.
Evison P.;Verrier G.
Harrington R.;Lowe J.
Harvey J.;Spiolek K.
Justice N.;Allsopp D.
Manley P.;Anderson B.
Part J.;Bunyard J.
Priestley D.;Roncero B.
Raw S.;Cummings S.
Roy A.;Harding R.
Smith D.;Lazarenko C.
Stoddart G.;Lauby D. Sr.
Taylor P.;Manning M.
Warriner-Little A.;Lim P.
Manley P.;Taylor P.
Burgess S.;Manley P.
Taylor P.;Warriner-Little A.
Burgess S.;Lazarenko C.
Smith D.;Manley P.
Taylor P.;Anderson B.
Warriner-Little A.;Ferrell J.
Anderson B.;Harvey J.
Brown S.;Lazarenko C.
Ferrell J.;Mawson G.
Harrington R.;Burgess S.
Manley P.;Stoddart G.
Smith D.;Manning M.
Taylor P.;Lowe J.
Warriner-Little A.;Robinson H.
Allsopp D.;Lazarenko C.
Brown S.;Spiolek K.
Burgess S.;Cummings S.
Deller K.;Anderson B.
Downs S.;Robinson H.
Evison P.;Smith D.
Harrington R.;Roy A.
Lauby D. Sr.;Manning M.
Lowe J.;Lim P.
Manley P.;Bristow E.
Mawson G.;Gardner R.
Priestley D.;Ferrell J.
Raw S.;Stoddart G.
Taylor P.;Harding R.
Verrier G.;Harvey J.
Warriner-Little A.;Part J.
Taylor P.;Priestley D.
Harrington R.;Deller K.
Priestley D.;Deller K.
Taylor P.;Harrington R.
Deller K.;Robinson H.
Harrington R.;Evison P.
Priestley D.;Manley P.
Taylor P.;Burgess S.
Anderson B.;Verrier G.
Bristow E.;Raw S.
Brown S.;Robinson H.
Burgess S.;Anderson B.
Burgess S.;Verrier G.
Deller K.;Manning M.
Deller K.;Stoddart G.
Evison P.;Lim P.
Evison P.;Part J.
Harrington R.;Ferrell J.
Harrington R.;Harvey J.
Harvey J.;Ferrell J.
Lim P.;Part J.
Manley P.;Lowe J.
Manley P.;Mawson G.
Manning M.;Stoddart G.
