tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,1/64-FINALS,Lowe J.,Larsson D.,3.0,0.0
2022,1/64-FINALS,Williams L.,Shibata T.,3.0,0.0
2022,1/64-FINALS,van Barneveld R.,Ilagan L.,3.0,0.0
2022,1/64-FINALS,Rodriguez Ru. J.,Robb B.,3.0,1.0
2022,1/64-FINALS,Woodhouse L.,Wilson J.,3.0,1.0
2022,1/64-FINALS,Beaton S.,Sherrock F.,3.0,2.0
2022,1/64-FINALS,Hempel F.,Schindler M.,3.0,0.0
2022,1/64-FINALS,Kleermaker M.,Michael J.,3.0,1.0
2022,1/64-FINALS,Soutar A.,Portela D.,3.0,2.0
2022,1/64-FINALS,Heaver J.,Mathers G.,3.0,1.0
2022,1/64-FINALS,Kuivenhoven M.,Smith K.,3.0,1.0
2022,1/64-FINALS,Rodriguez R.-J.,Kenny N.,3.0,0.0
2022,1/64-FINALS,Evetts T.,Williams J.,1.0,3.0
2022,1/64-FINALS,Hunt A.,Krcmar B.,3.0,0.0
2022,1/64-FINALS,Labanauskas D.,de Decker M.,1.0,3.0
2022,1/64-FINALS,Rydz C.,Yamada Y.,3.0,0.0
2022,1/64-FINALS,Hughes J.,Smith R.,1.0,3.0
2022,1/64-FINALS,Smith R.,Smith J.,3.0,0.0
2022,1/64-FINALS,Borland W.,Brooks B.,3.0,2.0
2022,1/64-FINALS,Murnan J.,Lim P.,3.0,2.0
2022,1/64-FINALS,Wattimena J.,Koltsov B.,0.0,3.0
2022,1/64-FINALS,Barry K.,Lam R.,3.0,2.0
2022,1/64-FINALS,Joyce R.,Benecky R.,3.0,2.0
2022,1/64-FINALS,Meulenkamp R.,Ashton L.,3.0,0.0
2022,1/64-FINALS,Meikle R.,Schmutzler F.,3.0,0.0
2022,1/64-FINALS,O'Connor W.,Lauby D. Jr.,3.0,2.0
2022,1/64-FINALS,Barstow C.,Norman J.,3.0,1.0
2022,1/64-FINALS,Mitchell S.,Landman C.,0.0,3.0
2022,1/64-FINALS,Lennon S.,Razma M.,3.0,1.0
2022,1/64-FINALS,Lewis A.,Campbell M.,3.0,1.0
2022,1/64-FINALS,Evans R.,Kumar N.,3.0,0.0
2022,1/64-FINALS,Edhouse R.,Hudson P.,3.0,2.0
2021,1/64-FINALS,Brown K.,Meikle R.,3.0,0.0
2021,1/64-FINALS,Kleermaker M.,Carolissen C.,,
2021,1/64-FINALS,Kuivenhoven M.,Edgar M.,0.0,3.0
2021,1/64-FINALS,Lowe J.,Gorbunov D.,3.0,1.0
2021,1/64-FINALS,Telnekes D.,Kenny N.,2.0,3.0
2021,1/64-FINALS,Heta D.,Baggish D.,2.0,3.0
2021,1/64-FINALS,Boulton A.,Hedman D.,3.0,1.0
2021,1/64-FINALS,Hamilton A.,Kurz N.,1.0,3.0
2021,1/64-FINALS,Huybrechts K.,Zhuang D.,3.0,0.0
2021,1/64-FINALS,Waites S.,Campbell M.,3.0,2.0
2021,1/64-FINALS,Lennon S.,Larsson D.,3.0,1.0
2021,1/64-FINALS,Humphries L.,Lim P.,2.0,3.0
2021,1/64-FINALS,Henderson J.,Kantele M.,3.0,2.0
2021,1/64-FINALS,van Duijvenbode D.,Brooks B.,3.0,2.0
2021,1/64-FINALS,Jones W.,Teehan C.,3.0,2.0
2021,1/64-FINALS,Labanauskas D.,Liu C. A.,3.0,0.0
2021,1/64-FINALS,Mansell M.,Puha H.,3.0,0.0
2021,1/64-FINALS,Searle R.,Lauby D. Jr.,3.0,2.0
2021,1/64-FINALS,Meulenkamp R.,Krcmar B.,3.0,1.0
2021,1/64-FINALS,Woodhouse L.,Lewis J.,2.0,3.0
2021,1/64-FINALS,Murray R.,Ilagan L.,3.0,1.0
2021,1/64-FINALS,de Decker M.,Foulkes E.,0.0,3.0
2021,1/64-FINALS,Razma M.,Suzuki T.,3.0,0.0
2021,1/64-FINALS,Hunt A.,Ashton L.,3.0,2.0
2021,1/64-FINALS,Rydz C.,Bailey J.,3.0,1.0
2021,1/64-FINALS,Hopp M.,Mathers G.,3.0,0.0
2021,1/64-FINALS,O'Connor W.,Zonneveld N.,3.0,0.0
2021,1/64-FINALS,Smith R.,Evans D.,3.0,0.0
2021,1/64-FINALS,Joyce R.,Sedlacek K.,3.0,2.0
2021,1/64-FINALS,Smith J.,Barry K.,3.0,1.0
2021,1/64-FINALS,Beaton S.,Portela D.,0.0,3.0
2021,1/64-FINALS,West S.,Gilitwala A.,3.0,0.0
