tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,FINAL,Smith M.,Wright P.,5.0,7.0
2021,FINAL,Anderson G.,Price G.,3.0,7.0
2020,FINAL,van Gerwen M.,Wright P.,3.0,7.0
2019,FINAL,van Gerwen M.,Smith M.,7.0,3.0
2018,FINAL,Cross R.,Taylor P.,7.0,2.0
2017,FINAL,van Gerwen M.,Anderson G.,7.0,3.0
2017,FINAL,Lerchbacher Z.,Stevenson S.,2.0,1.0
2017,FINAL,Koltsov B.,Horvat D.,1.0,2.0
2017,FINAL,Qiang S.,Cadby C.,0.0,2.0
2017,FINAL,Bowles J.,Platt D.,0.0,2.0
2017,FINAL,Simm K.,Ulang G.,2.0,0.0
2017,FINAL,Snook R.,Viljanen K.,0.0,2.0
2017,FINAL,Shah T. H.,Chino M.,2.0,1.0
2017,FINAL,Hendriks J.,Parry W.,2.0,0.0
2016,FINAL,Lewis A.,Anderson G.,5.0,7.0
2016,FINAL,Scheffer W.,Michael J.,0.0,2.0
2016,FINAL,Oreshkin A.,Lim P.,2.0,1.0
2016,FINAL,Rasztovits M.,Szabo R.,0.0,2.0
2016,FINAL,Ono K.,Tagarao A.,2.0,0.0
2016,FINAL,Viljanen K.,Groen S.,2.0,1.0
2016,FINAL,Gaweenuntawong T.,Eidams R.,0.0,2.0
2016,FINAL,Qiang S.,McGowan M.,0.0,2.0
2016,FINAL,Boulton A.,Laursen P.,2.0,1.0
2015,FINAL,Anderson G.,Taylor P.,7.0,6.0
2015,FINAL,Wattimena J.,Marijanovic R.,,
2015,FINAL,Arendse N.,Hon A.,,
2015,FINAL,Haavisto J.,Michael J.,,
2015,FINAL,Koltsov B.,Muramatsu H.,,
2015,FINAL,McGrath M.,Kirchner S.,,
2015,FINAL,MacKenzie S.,Gurney D.,,
2015,FINAL,Viljanen K.,Stein S.,,
2015,FINAL,Perez C.,Reyes C.,,
2014,FINAL,Wright P.,van Gerwen M.,4.0,7.0
2014,FINAL,Vos G.,Lam R.,1.0,4.0
2014,FINAL,Hashimoto M.,Lim P.,4.0,2.0
2014,FINAL,Lerchbacher Z.,Ward B.,4.0,1.0
2014,FINAL,Petersen D.,Latif Sapup M.,4.0,1.0
2014,FINAL,Lindskjold D.,Osborne C.,1.0,4.0
2014,FINAL,Barbero J.,Welge A.,4.0,1.0
2014,FINAL,McGarry C.,Laursen P.,2.0,4.0
2014,FINAL,Szabo R.,Moss I.,4.0,3.0
2013,FINAL,Taylor P.,van Gerwen M.,7.0,4.0
2013,FINAL,Lim P.,Latif Sapup M.,4.0,1.0
2013,FINAL,Muramatsu H.,Dave H.,4.0,0.0
2013,FINAL,Ilagan L.,Lewis J.,4.0,3.0
2013,FINAL,Rodriguez C.,Bowles J.,2.0,4.0
2013,FINAL,Komula J.,Haavisto J.,2.0,4.0
2013,FINAL,Hopp M.,Charl P.,4.0,1.0
2013,FINAL,Gurney D.,Marijanovic R.,4.0,3.0
2013,FINAL,Welge A.,Chen N. L.,1.0,4.0
2012,FINAL,Hamilton A.,Lewis A.,3.0,7.0
2012,FINAL,Petersen D.,de Sousa J.,4.0,3.0
