tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2020,PRELIMINARY ROUND,Joyce R.,Dekker J.,2.0,3.0
2020,PRELIMINARY ROUND,Pipe J.,Pratnemer B.,3.0,2.0
2020,PRELIMINARY ROUND,Clemens G.,van de Pas B.,2.0,3.0
2020,PRELIMINARY ROUND,Payne J.,Portela D.,3.0,0.0
2020,PRELIMINARY ROUND,Wilson J.,Kurz N.,1.0,3.0
2020,PRELIMINARY ROUND,Ward H.,Razma M.,3.0,2.0
2020,PRELIMINARY ROUND,Mansell M.,Asada S.,0.0,3.0
2020,PRELIMINARY ROUND,Meulenkamp R.,Robb B.,3.0,0.0
2020,PRELIMINARY ROUND,Evetts T.,Sherrock F.,2.0,3.0
2020,PRELIMINARY ROUND,de Sousa J.,Heta D.,0.0,3.0
2020,PRELIMINARY ROUND,Edhouse R.,Koltsov B.,3.0,1.0
2020,PRELIMINARY ROUND,Rodriguez R.-J.,Malicdem N.,0.0,3.0
2020,PRELIMINARY ROUND,Reyes C.,Ilagan L.,3.0,2.0
2020,PRELIMINARY ROUND,Searle R.,King R.,3.0,2.0
2020,PRELIMINARY ROUND,Van der Voort V.,Barry K.,3.0,0.0
2020,PRELIMINARY ROUND,O'Connor W.,Kantele M.,3.0,0.0
2020,PRELIMINARY ROUND,Lennon S.,Rydz C.,2.0,3.0
2020,PRELIMINARY ROUND,Richardson J.,Suzuki M.,3.0,2.0
2020,PRELIMINARY ROUND,Boulton A.,Baggish D.,2.0,3.0
2020,PRELIMINARY ROUND,Monk A.,Justicia J.,0.0,3.0
2020,PRELIMINARY ROUND,Dolan B.,Kumar N.,3.0,0.0
2020,PRELIMINARY ROUND,Smith R.,Teehan C.,0.0,3.0
2020,PRELIMINARY ROUND,Anderson K.,Zong X. C.,3.0,2.0
2020,PRELIMINARY ROUND,van Barneveld R.,Young D.,1.0,3.0
2020,PRELIMINARY ROUND,Hughes J.,Lerchbacher Z.,2.0,3.0
2020,PRELIMINARY ROUND,McGeeney M.,Campbell M.,3.0,1.0
2020,PRELIMINARY ROUND,Woodhouse L.,Lim P.,3.0,0.0
2020,PRELIMINARY ROUND,Meikle R.,Yamada Y.,1.0,3.0
