tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,QUARTER-FINALS,Price G.,Smith M.,4.0,5.0
2022,QUARTER-FINALS,Wright P.,Rydz C.,5.0,4.0
2022,QUARTER-FINALS,Humphries L.,Anderson G.,2.0,5.0
2022,QUARTER-FINALS,Wade J.,King M.,5.0,0.0
2021,QUARTER-FINALS,van Gerwen M.,Chisnall D.,0.0,5.0
2021,QUARTER-FINALS,Price G.,Gurney D.,5.0,4.0
2021,QUARTER-FINALS,Anderson G.,van Duijvenbode D.,5.0,1.0
2021,QUARTER-FINALS,Ratajski K.,Bunting S.,3.0,5.0
2020,QUARTER-FINALS,Durrant G.,Price G.,1.0,5.0
2020,QUARTER-FINALS,van Gerwen M.,Labanauskas D.,5.0,2.0
2020,QUARTER-FINALS,Humphries L.,Wright P.,3.0,5.0
2020,QUARTER-FINALS,Aspinall N.,van den Bergh D.,5.0,3.0
2019,QUARTER-FINALS,van Gerwen M.,Joyce R.,5.0,1.0
2019,QUARTER-FINALS,Humphries L.,Smith M.,1.0,5.0
2019,QUARTER-FINALS,Anderson G.,Chisnall D.,5.0,2.0
2019,QUARTER-FINALS,Aspinall N.,Dolan B.,5.0,1.0
2018,QUARTER-FINALS,Taylor P.,Anderson G.,5.0,3.0
2018,QUARTER-FINALS,van Gerwen M.,van Barneveld R.,5.0,4.0
2018,QUARTER-FINALS,van den Bergh D.,Cross R.,4.0,5.0
2018,QUARTER-FINALS,Lewis J.,Webster D.,5.0,0.0
2017,QUARTER-FINALS,van Barneveld R.,Taylor P.,5.0,3.0
2017,QUARTER-FINALS,van Gerwen M.,Gurney D.,5.0,1.0
2017,QUARTER-FINALS,Anderson G.,Chisnall D.,5.0,3.0
2017,QUARTER-FINALS,Wade J.,Wright P.,3.0,5.0
2016,QUARTER-FINALS,Lewis A.,Wright P.,5.0,2.0
2016,QUARTER-FINALS,van Barneveld R.,Smith M.,5.0,4.0
2016,QUARTER-FINALS,Anderson G.,Wade J.,5.0,1.0
2016,QUARTER-FINALS,Norris A.,Klaasen J.,4.0,5.0
2015,QUARTER-FINALS,Bunting S.,van Barneveld R.,4.0,5.0
2015,QUARTER-FINALS,Taylor P.,Van der Voort V.,5.0,3.0
2015,QUARTER-FINALS,Wright P.,Anderson G.,1.0,5.0
2015,QUARTER-FINALS,van Gerwen M.,Thornton R.,5.0,2.0
2014,QUARTER-FINALS,Wade J.,Lewis A.,1.0,5.0
2014,QUARTER-FINALS,van Gerwen M.,Webster M.,5.0,3.0
2014,QUARTER-FINALS,White I.,Whitlock S.,4.0,5.0
2014,QUARTER-FINALS,Wright P.,Newton W.,5.0,4.0
2013,QUARTER-FINALS,Lewis A.,van Gerwen M.,4.0,5.0
2013,QUARTER-FINALS,Newton W.,Wade J.,4.0,5.0
2013,QUARTER-FINALS,Taylor P.,Hamilton A.,5.0,0.0
2013,QUARTER-FINALS,Whitlock S.,van Barneveld R.,1.0,5.0
2012,QUARTER-FINALS,Lewis A.,Jenkins T.,5.0,3.0
2012,QUARTER-FINALS,Whitlock S.,Anderson G.,5.0,1.0
2012,QUARTER-FINALS,Part J.,Wade J.,4.0,5.0
2012,QUARTER-FINALS,Hamilton A.,Huybrechts K.,5.0,2.0
2011,QUARTER-FINALS,Taylor P.,Webster M.,2.0,5.0
2011,QUARTER-FINALS,Anderson G.,van Barneveld R.,5.0,1.0
2011,QUARTER-FINALS,Lewis A.,Van der Voort V.,5.0,2.0
2011,QUARTER-FINALS,Newton W.,Jenkins T.,4.0,5.0
2010,QUARTER-FINALS,Taylor P.,Lewis A.,5.0,0.0
2010,QUARTER-FINALS,van Barneveld R.,Baxter R.,5.0,0.0
2010,QUARTER-FINALS,Whitlock S.,Wade J.,5.0,3.0
2010,QUARTER-FINALS,Stompe C.,Webster M.,3.0,5.0
2009,QUARTER-FINALS,Nicholson P.,Wade J.,3.0,5.0
2009,QUARTER-FINALS,van Barneveld R.,Klaasen J.,5.0,1.0
2009,QUARTER-FINALS,King M.,Bates B.,5.0,2.0
2009,QUARTER-FINALS,Taylor P.,Stompe C.,5.0,0.0
2008,QUARTER-FINALS,Manley P.,Shepherd K.,4.0,5.0
2008,QUARTER-FINALS,Painter K.,Lewis A.,5.0,2.0
