tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,SEMI-FINALS,Wright P.,Anderson G.,6.0,4.0
2022,SEMI-FINALS,Smith M.,Wade J.,6.0,3.0
2021,SEMI-FINALS,Chisnall D.,Anderson G.,3.0,6.0
2021,SEMI-FINALS,Bunting S.,Price G.,4.0,6.0
2020,SEMI-FINALS,van Gerwen M.,Aspinall N.,6.0,3.0
2020,SEMI-FINALS,Wright P.,Price G.,6.0,3.0
2019,SEMI-FINALS,van Gerwen M.,Anderson G.,6.0,1.0
2019,SEMI-FINALS,Smith M.,Aspinall N.,6.0,3.0
2018,SEMI-FINALS,van Gerwen M.,Cross R.,5.0,6.0
2018,SEMI-FINALS,Lewis J.,Taylor P.,1.0,6.0
2017,SEMI-FINALS,van Gerwen M.,van Barneveld R.,6.0,2.0
2017,SEMI-FINALS,Anderson G.,Wright P.,6.0,3.0
2016,SEMI-FINALS,Anderson G.,Klaasen J.,6.0,0.0
2016,SEMI-FINALS,van Barneveld R.,Lewis A.,3.0,6.0
2015,SEMI-FINALS,Taylor P.,van Barneveld R.,6.0,2.0
2015,SEMI-FINALS,van Gerwen M.,Anderson G.,3.0,6.0
2014,SEMI-FINALS,van Gerwen M.,Lewis A.,6.0,0.0
2014,SEMI-FINALS,Wright P.,Whitlock S.,6.0,2.0
2013,SEMI-FINALS,Taylor P.,van Barneveld R.,6.0,4.0
2013,SEMI-FINALS,van Gerwen M.,Wade J.,6.0,4.0
2012,SEMI-FINALS,Lewis A.,Wade J.,6.0,5.0
2012,SEMI-FINALS,Hamilton A.,Whitlock S.,6.0,5.0
2011,SEMI-FINALS,Jenkins T.,Anderson G.,2.0,6.0
2011,SEMI-FINALS,Webster M.,Lewis A.,4.0,6.0
2010,SEMI-FINALS,Taylor P.,Webster M.,6.0,0.0
2010,SEMI-FINALS,van Barneveld R.,Whitlock S.,5.0,6.0
2009,SEMI-FINALS,Taylor P.,King M.,6.0,2.0
2009,SEMI-FINALS,van Barneveld R.,Wade J.,6.0,4.0
2008,SEMI-FINALS,Mardle W.,Shepherd K.,4.0,6.0
2008,SEMI-FINALS,Painter K.,Part J.,2.0,6.0
2007,SEMI-FINALS,Taylor P.,Hamilton A.,6.0,0.0
2007,SEMI-FINALS,van Barneveld R.,Jenkins A.,6.0,0.0
2006,SEMI-FINALS,Jones W.,Manley P.,0.0,6.0
2006,SEMI-FINALS,Taylor P.,Mardle W.,6.0,5.0
2005,SEMI-FINALS,Mardle W.,Dudbridge M.,4.0,6.0
2005,SEMI-FINALS,Taylor P.,Anderson B.,6.0,2.0
2005,SEMI-FINALS,Jouannet B.,Jones W.,0.0,3.0
2005,SEMI-FINALS,Clark J.,Matsunaga Y.,3.0,0.0
2005,SEMI-FINALS,Holden M.,Wade J.,3.0,0.0
2005,SEMI-FINALS,Jun T.,Convery G.,0.0,3.0
2005,SEMI-FINALS,Landers M.,Reynolds A.,3.0,2.0
2005,SEMI-FINALS,Thomson M.,Hamilton A.,0.0,3.0
2005,SEMI-FINALS,Verwey J.,Forde A.,3.0,2.0
2005,SEMI-FINALS,Young D.,Schenk J.,2.0,3.0
2004,SEMI-FINALS,Anderson B.,Painter K.,0.0,6.0
2004,SEMI-FINALS,Taylor P.,Mardle W.,6.0,2.0
2004,SEMI-FINALS,Atwood W.,Sano T.,3.0,0.0
2004,SEMI-FINALS,Buckle R.,Van der Rassel J.,3.0,1.0
2004,SEMI-FINALS,Clarys E.,Lauby D. Sr.,3.0,0.0
2004,SEMI-FINALS,MacKay A.,Jouannet B.,3.0,2.0
2004,SEMI-FINALS,Maish S.,Payne T.,3.0,0.0
2004,SEMI-FINALS,McGarry C.,Orvis R.,3.0,0.0
2004,SEMI-FINALS,Smith S.,Madhoo N.,3.0,1.0
2004,SEMI-FINALS,Widdows R.,O'Neill H.,3.0,2.0
2003,SEMI-FINALS,Painter K.,Part J.,4.0,6.0
2003,SEMI-FINALS,Taylor P.,Warriner-Little A.,6.0,1.0
2002,SEMI-FINALS,Askew D.,Taylor P.,0.0,6.0
2002,SEMI-FINALS,Lloyd C.,Manley P.,4.0,6.0
2001,SEMI-FINALS,Askew D.,Taylor P.,0.0,6.0
2001,SEMI-FINALS,Harrington R.,Part J.,5.0,6.0
2000,SEMI-FINALS,Manley P.,Priestley D.,2.0,5.0
2000,SEMI-FINALS,Smith D.,Taylor P.,0.0,5.0
1999,SEMI-FINALS,Burgess S.,Manley P.,4.0,5.0
1999,SEMI-FINALS,Taylor P.,Warriner-Little A.,5.0,3.0
1998,SEMI-FINALS,Priestley D.,Deller K.,5.0,1.0
1998,SEMI-FINALS,Taylor P.,Harrington R.,5.0,2.0
1997,SEMI-FINALS,Bristow E.,Taylor P.,4.0,5.0
1997,SEMI-FINALS,Evison P.,Priestley D.,4.0,5.0
1996,SEMI-FINALS,Harvey J.,Priestley D.,1.0,5.0
1996,SEMI-FINALS,Taylor P.,Lowe J.,5.0,1.0
1995,SEMI-FINALS,Evison P.,Harrington R.,1.0,5.0
1995,SEMI-FINALS,Taylor P.,Lowe J.,5.0,4.0
1994,SEMI-FINALS,Priestley D.,Evison P.,5.0,3.0
1994,SEMI-FINALS,Taylor P.,Brown S.,5.0,0.0
