id;label
0;Smith M.
1;Wright P.
2;Price G.
3;Humphries L.
4;Wade J.
5;Anderson G.
6;Dobey C.
7;Soutar A.
8;Smith R.
9;Clayton J.
10;Aspinall N.
11;Chisnall D.
12;de Sousa J.
13;van Gerwen M.
14;Cross R.
15;Cullen J.
16;Searle R.
17;Lennon S.
18;Hempel F.
19;Clemens G.
20;Noppert D.
21;Suljovic M.
22;Dolan B.
23;Heta D.
24;Whitlock S.
25;Huybrechts K.
26;van Duijvenbode D.
27;Durrant G.
28;Petersen D.
29;van den Bergh D.
30;Van der Voort V.
31;King M.
32;Lowe J.
33;Williams L.
34;van Barneveld R.
35;Rodriguez Ru. J.
36;Woodhouse L.
37;Beaton S.
38;Kleermaker M.
39;Bunting S.
40;Heaver J.
41;Kuivenhoven M.
42;Rodriguez R.-J.
43;Evetts T.
44;Hunt A.
45;White I.
46;Labanauskas D.
47;Rydz C.
48;Hughes J.
49;Borland W.
50;Murnan J.
51;Ratajski K.
52;Wattimena J.
53;Barry K.
54;Joyce R.
55;Meulenkamp R.
56;Meikle R.
57;O'Connor W.
58;Gurney D.
59;Barstow C.
60;Mitchell S.
61;Lewis A.
62;Evans R.
63;Edhouse R.
64;de Zwaan J.
65;Brown K.
66;Telnekes D.
67;Boulton A.
68;Hamilton A.
69;Waites S.
70;Henderson J.
71;Jones W.
72;Mansell M.
73;Murray R.
74;de Decker M.
75;Razma M.
76;Hopp M.
77;Smith J.
78;West S.
79;Sherrock F.
80;Kurz N.
81;Webster D.
82;Pipe J.
83;Payne J.
84;Wilson J.
85;Ward H.
86;Reyes C.
87;Richardson J.
88;Monk A.
89;Anderson K.
90;McGeeney M.
91;Klaasen J.
92;Lewis J.
93;van de Pas B.
94;Alcinas T.
95;Norris A.
96;de Graaf J.
97;Thornton R.
98;Edgar M.
99;North R.
100;Stevenson S.
101;Nicholson P.
102;Tabern A.
103;Barnard M.
104;Dekker J.
105;Schindler M.
106;Taylor P.
107;Munch K.
108;Zong X. C.
109;Oreshkin A.
110;Webster M.
111;Leung K. F.
112;Bruguier W.
113;Neyens K.
114;Ljubic A.
115;Asada S.
116;Lerchbacher Z.
117;Koltsov B.
118;Qiang S.
119;Bowles J.
120;Simm K.
121;Snook R.
122;Jenkins T.
123;Shah T. H.
124;Hendriks J.
125;Caven J.
126;Pallett D.
127;Gilding A.
128;Newton W.
129;Winstanley D.
130;Scheffer W.
131;Rasztovits M.
132;Ono K.
133;Painter K.
134;Viljanen K.
135;Gaweenuntawong T.
136;Arendse N.
137;Haavisto J.
138;McGrath M.
139;Baxter R.
140;MacKenzie S.
141;Smith A.
142;Kellett S.
143;Perez C.
144;Part J.
145;Burnett R.
146;Vos G.
147;Hashimoto M.
148;Lloyd C.
149;Lindskjold D.
150;Barbero J.
151;McGarry C.
152;Walsh M.
153;Szabo R.
154;Lim P.
155;Muramatsu H.
156;Osborne C.
157;Ilagan L.
158;Rodriguez C.
159;Komula J.
160;Ovens D.
161;Welge A.
162;Farmer S.
163;Brown S.
164;Laursen P.
165;Dudbridge M.
166;Finnan C.
167;Burger D.
168;Stompe C.
169;Barham P.
170;Priestley D.
171;Caris M.
172;Bates B.
173;Artut J.
174;Padgett M.
175;Scholten R.
176;Mawson G.
177;Shepherd K.
178;McDine K.
179;Seyler T.
180;Hazel P.
181;Eccles T.
182;MacNeil K.
183;Manley P.
184;O'Neill A.
185;Mardle W.
186;Smith D.
187;Davis B.
188;Gray A.
189;Mason C.
190;Roy A.
191;Jenkins A.
192;Fatum D.
193;French W.
194;Kantele M.
195;Losper C.
196;Schnier H.
197;Van Eijden R.
198;Maish S.
199;Van der Rassel J.
200;Warriner-Little A.
201;Anderson B.
202;McGowan M.
203;Barellano R.
204;Bolton A.
205;Nagakawa A.
206;Sayed A.
207;Havenga W.
208;Askew D.
209;Caves A.
210;Vonck R.
211;Monk C.
212;Sams L.
213;Clark M.
214;Welding G.
215;Carver R.
216;Kuczynski J.
217;Clarys E.
218;Harvey J.
219;Schenk J.
220;Deller K.
221;Evison P.
222;Jouannet B.
223;Manning M.
224;Whatley S.
225;Clark J.
226;Holden M.
227;Jun T.
228;Landers M.
229;Thomson M.
230;Verwey J.
231;Young D.
232;Atwood W.
233;Buckle R.
234;MacKay A.
235;Smith S.
236;Widdows R.
237;Fitton L.
238;Burgess S.
239;Harding R.
240;Harrington R.
241;Stoddart G.
242;Lazarenko C.
243;Justice N.
244;Raw S.
245;Ferrell J.
246;Allsopp D.
247;Downs S.
248;Lauby D. Sr.
249;Verrier G.
250;Bristow E.
251;Gardner R.
252;Spiolek K.
253;Butler L.
254;Watkins J.
255;Burrows K.
256;Kelly D.
257;Williams J.
258;Larsson D.
259;Shibata T.
260;Robb B.
261;Michael J.
262;Portela D.
263;Mathers G.
264;Smith K.
265;Kenny N.
266;Krcmar B.
267;Landman C.
268;Yamada Y.
269;Brooks B.
270;Lam R.
271;Benecky R.
272;Ashton L.
273;Schmutzler F.
274;Lauby D. Jr.
275;Norman J.
276;Campbell M.
277;Kumar N.
278;Hudson P.
279;Baggish D.
280;Carolissen C.
281;Foulkes E.
282;Gorbunov D.
283;Hedman D.
284;Zhuang D.
285;Teehan C.
286;Liu C. A.
287;Puha H.
288;Suzuki T.
289;Bailey J.
290;Zonneveld N.
291;Evans D.
292;Sedlacek K.
293;Gilitwala A.
294;Malicdem N.
295;Pratnemer B.
296;Justicia J.
297;King R.
298;Suzuki M.
299;Nentjes G.
300;Burness K.
301;Long J.
302;Puleo C.
303;Dobromyslova A.
304;Liu Y.
305;Meeuwisse Y.
306;Kirk A.
307;Burton S.
308;Ross C.
309;Marijanovic R.
310;Harris C.
311;Smith B.
312;Huybrechts R.
313;Jacques P.
314;Kist C.
315;Horvat D.
316;Green R.
317;Cadby C.
318;Platt D.
319;Ulang G.
320;Chino M.
321;Parry W.
322;Frost M.
323;Ryder L.
324;Tagarao A.
325;Kokiri K.
326;Groen S.
327;Eidams R.
328;Stein S.
329;Hon A.
330;Hogg J.
331;de Vreede R.
332;Kirchner S.
333;Weber J.
334;Richardson D.
335;Ward B.
336;Latif Sapup M.
337;Moss I.
338;Michels M.
339;Rand S.
340;Dave H.
341;Haines J.
342;Jones M.
343;Charl P.
344;Tichowitsch S.
345;Hubbard J.
346;Chen N. L.
347;Ferenc O.
348;Korte P.
349;Kime G.
350;Hylton M.
351;Peng L. Ch.
352;van de Rijk K.
353;Nilsson D.
354;Reed S.
355;Heydon N.
356;Roith B.
357;Hine S.
358;Madhoo N.
359;Thompson C.
360;Ridd P.
361;Evans S.
362;Viinikka V.
363;Gionzon J.
364;Ruiz F.
365;Yongsheng S.
366;Greebe T.
367;Kciuk K.
368;Duo D.
369;Kijamet O.
370;Francis L.
371;Burnett S.
372;Konchikov R.
373;Ayres T.
374;Magowan J.
375;Bezzeg N.
376;Stewart R.
377;Fullwell N.
378;Stephenson M.
379;McBrearty F.
380;Grubb S.
381;O'Connor S.
382;Fitzgerald S.
383;Extercatte E.
384;Olson D.
385;MacArthur S.
386;Kwadijk L.
387;Navratil M.
388;Forde A.
389;Convery G.
390;Barry J.
391;Rosenauer M.
392;Ladley D.
393;Cyr B.
394;Burchell M.
395;Wada T.
396;Miller R.
397;Branks I.
398;Fleet A.
399;Clegg M.
400;Lawrence M.
401;Jowett D.
402;Green A.
403;Pein A.
404;Alker S.
405;Cadogan W.
406;Newton D.
407;Woods K.
408;Mann J.
409;Roach B.
410;Wylie G.
411;Bulen P.
412;Whitcombe D.
413;Salmon M.
414;Honey D.
415;Matsunaga Y.
416;Williams P.
417;Reynolds A.
